id,filename,algorithm_sol,algorithm_sol_int,color_sol,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density,greedy_color_sol,greedy_iss_min,greedy_iss_max,greedy_iss_mean,greedy_iss_median,greedy_iss_std,greedy_iss_q25,greedy_iss_q75,rlf_color_sol,rlf_time_sol,rlf_iss_min,rlf_iss_max,rlf_iss_mean,rlf_iss_median,rlf_iss_std,rlf_iss_q25,rlf_iss_q75,dsat_color_sol,dsat_time_sol,dsat_iss_min,dsat_iss_max,dsat_iss_mean,dsat_iss_median,dsat_iss_std,dsat_iss_q25,dsat_iss_q75,best_greedy_col,dsat_rlf_ratio,rlf_dsat_ratio,treewidth,vertex_cover,iss_min,iss_max,iss_mean,iss_median,iss_std,iss_q25,iss_q75
990,../../graphs/col/G-1000-0.5-70-1.5.col,TABU,0,70,70,1.000000,0.5,401,483.504000,543,24.400860,70,1000,241752,1,241.752,0.004136470432509348,0.483987987987988,108,1,23,9.174311926605505,9,2.3837569036869004,8.0,10.0,94,0.609241,7,37,10.638297872340425,10.0,4.155191244203978,9.0,11.0,105,0.033846,4,34,9.523809523809524,9,2.9058801066353706,8.0,10.0,94,1.1170212765957446,0.8952380952380953,873,998,113,986,646.1836734693877,688,254.76146306147734,467.5,888.0
991,../../graphs/col/G-1000-0.9-20-0.1.col,HEA,2,20,20,0.000000,0.9,809,854.024000,897,11.465663,20,1000,427012,1,427.012,0.0023418545614643147,0.8548788788788789,23,4,64,41.666666666666664,45.0,18.277252830075223,38.0,55.0,20,0.265698,37,64,50,49.5,7.298161268068611,44.0,55.0,20,0.047117,37,64,50,49.5,7.298161268068611,44.0,55.0,20,1.0,1.0,935,1000,14,982,563.4137931034483,602.0,280.03771891825374,344.75,818.25
992,../../graphs/col/U-1000-0.5--.3.col,TABU,0,253,,,0.5,207,493.450000,825,133.755895,,1000,246725,0,246.725,0.004053095551727632,0.4939439439439439,267,1,6,3.7313432835820897,4.0,1.1492657099109818,3.0,4.0,266,1.586703,1,6,3.7593984962406015,4.0,1.137029402980861,3.0,4.0,255,0.032074,1,6,3.9215686274509802,4,0.9102032578855295,3.0,4.0,255,0.9586466165413534,1.0431372549019609,609,1000,3,376,176,142,181.66590213906406,4.0,365.0
993,../../graphs/col/W-500-0.5-30-1.5.col,ILS,1,30,30,1.000000,0.5,164,233.732000,286,20.663789,30,500,58433,1,116.866,0.00855680865264491,0.4684008016032064,56,1,34,8.771929824561404,9,3.918899006552593,8.0,10.0,48,0.074547,7,39,10.416666666666666,9.0,5.484342639222787,8.0,10.0,53,0.006362,5,53,9.433962264150944,8,6.778102281391907,7.0,9.0,48,1.1041666666666667,0.9056603773584906,409,498,148,477,282.74285714285713,259,108.57319105159455,170.0,378.0
994,../../graphs/col/W-1000-0.1-20-1.5.col,HEA,2,18,20,1.000000,0.1,46,90.554000,143,17.106697,20,1000,45277,1,45.277,0.022086268966583476,0.09064464464464464,25,2,49,38.46153846153846,41.5,10.819355874471528,38.75,44.0,22,0.028575,10,85,45.45454545454545,46.0,12.6066017199881,44.0,48.25,24,0.006049,2,53,41.666666666666664,44.0,9.941859972366586,40.0,45.75,22,1.0909090909090908,0.9166666666666666,750,994,1,998,331.75,293.0,273.05257967579365,62.75,531.25
995,../../graphs/col/U-1000-0.5-20-0.5.col,TABU,0,20,20,0.000000,0.5,191,471.448000,774,130.283266,20,1000,235724,1,235.724,0.004242249410327332,0.47191991991991994,19,38,62,50,49.5,6.299540501204495,47.0,53.75,20,0.138621,38,62,50,49.5,6.299540501204495,47.0,53.75,20,0.030179,38,62,50,49.5,6.299540501204495,47.0,53.75,19,1.0,1.0,591,998,4,996,548.8620689655172,644,298.70323592607656,217.5,749.5
996,../../graphs/col/G-500-0.9-80-0.5.col,HEA,2,80,80,0.000000,0.9,424,443.040000,464,7.049142,80,500,110760,1,221.52,0.00451426507764536,0.8878557114228457,156,1,8,3.1847133757961785,3,0.9255743611883229,3.0,4.0,109,0.290016,1,14,4.587155963302752,4,2.3929333044454655,3.0,5.5,126,0.01393,2,12,3.9682539682539684,3.0,2.0510933979183217,3.0,4.0,109,1.1559633027522935,0.8650793650793651,494,500,7,485,323.27272727272725,329,142.37492118283396,240.0,446.0
997,../../graphs/col/W-500-0.9-60-0.4.col,TABU,0,60,60,0.000000,0.9,416,441.396000,460,7.930396,60,500,110349,1,220.698,0.004531078668587844,0.884561122244489,131,1,15,3.787878787878788,3.0,2.0897068826571044,3.0,4.0,74,0.215773,1,19,6.756756756756757,6.0,3.595319677561069,4.0,9.0,107,0.013884,1,14,4.672897196261682,4,2.5799506391891383,3.0,5.0,74,1.445945945945946,0.6915887850467289,483,498,173,472,342.75,353.0,98.93535538650754,254.25,434.25
998,../../graphs/col/U-1000-0.5-110-0.2.col,TABU,0,105,110,0.000000,0.5,201,494.406000,801,138.008243,110,1000,247203,1,247.203,0.00404525835042455,0.4949009009009009,126,1,18,7.874015748031496,8,3.6318523106122087,5.0,10.0,116,0.665248,1,19,8.620689655172415,9.0,3.3170316023026767,6.0,10.75,119,0.030944,1,20,8.403361344537815,8,3.4304699676330173,6.0,10.0,116,1.0258620689655173,0.9747899159663865,617,1000,13,637,341.1111111111111,347,177.64532392132114,241.5,453.5
999,../../graphs/col/G-500-0.9-120-0.4.col,TABU,0,108,120,0.000000,0.9,425,445.428000,461,7.047894,118,500,111357,1,222.714,0.004490063489497742,0.8926412825651303,164,1,5,3.0303030303030303,3,0.6755687976036485,3.0,3.0,144,0.428947,1,9,3.4722222222222223,3.0,0.9382653571042044,3.0,4.0,154,0.012643,1,8,3.2467532467532467,3.0,0.7696165611089593,3.0,4.0,144,1.0694444444444444,0.935064935064935,493,500,30,446,266.6666666666667,277,120.58399562130954,199.5,350.5
1000,../../graphs/col/U-1000-0.5-110-1.3.col,HEA,2,100,110,1.000000,0.5,205,489.512000,793,138.311604,109,1000,244756,1,244.756,0.004085701678406249,0.490002002002002,113,1,94,8.771929824561404,7.0,10.373583782406495,5.0,9.25,106,0.59189,1,95,9.433962264150944,7.0,10.734917541701654,5.0,10.0,107,0.029462,1,67,9.345794392523365,7,8.551842793507953,6.0,10.0,106,1.009433962264151,0.9906542056074766,608,1000,95,985,589.0759493670886,585,254.4973815870491,358.0,820.0
1001,../../graphs/col/U-500-0.1-20-1.1.col,HEA,2,17,20,1.000000,0.1,12,48.116000,74,13.201157,20,500,12029,1,24.058,0.04156621498046388,0.0964248496993988,23,1,34,20.833333333333332,24.0,8.99113895511269,16.25,27.0,19,0.00555,2,65,26.31578947368421,28,12.776074130007176,24.0,30.0,20,0.002186,1,53,25,27.5,12.798026163600797,18.75,32.75,19,1.0526315789473684,0.95,155,490,2,487,240.77380952380952,257.0,148.58224376154874,113.25,356.0
