id,filename,algorithm_sol,algorithm_sol_int,color_sol,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density,greedy_color_sol,greedy_iss_min,greedy_iss_max,greedy_iss_mean,greedy_iss_median,greedy_iss_std,greedy_iss_q25,greedy_iss_q75,rlf_color_sol,rlf_time_sol,rlf_iss_min,rlf_iss_max,rlf_iss_mean,rlf_iss_median,rlf_iss_std,rlf_iss_q25,rlf_iss_q75,dsat_color_sol,dsat_time_sol,dsat_iss_min,dsat_iss_max,dsat_iss_mean,dsat_iss_median,dsat_iss_std,dsat_iss_q25,dsat_iss_q75,best_greedy_col,dsat_rlf_ratio,rlf_dsat_ratio
969,../../graphs/col/U-500-0.5-50-0.1.col,HEA,2,49,50,0.000000,0.5,100,248.360000,402,68.146184,50,500,62090,1,124.18,0.008052826542116283,0.49771543086172343,58,1,20,8.474576271186441,8,3.6735585125249437,6.0,11.0,53,0.071252,2,20,9.433962264150944,9,3.416641591940745,7.0,11.5,52,0.007085,2,20,9.615384615384615,9.0,3.338156390054929,7.0,11.0,52,0.9811320754716981,1.0192307692307692
970,../../graphs/col/U-1000-0.1-40-1.5.col,HEA,2,32,40,1.000000,0.1,37,101.364000,147,24.810996,36,1000,50682,1,50.682,0.01973087092064244,0.10146546546546546,46,1,46,21.27659574468085,24,10.721173945413234,13.0,29.0,36,0.038865,1,98,27.77777777777778,27.5,17.579389085941543,18.75,34.0,35,0.007368,2,68,28.571428571428573,32,14.002700819916878,20.0,34.0,35,0.9722222222222222,1.0285714285714285
971,../../graphs/col/G-1000-0.5-120-1.2.col,TABU,0,81,120,1.000000,0.5,433,490.854000,541,17.535754,97,1000,245427,1,245.427,0.004074531327034108,0.49134534534534535,118,1,12,8.403361344537815,9,1.8194771447281242,8.0,9.0,101,0.62355,1,55,9.900990099009901,10,4.82183564733401,9.0,10.0,113,0.034041,1,12,8.849557522123893,9,1.5992254762521154,8.0,10.0,101,1.118811881188119,0.8938053097345132
972,../../graphs/col/W-1000-0.5-90-1.2.col,ILS,1,79,90,1.000000,0.5,421,489.406000,557,23.026228,87,1000,244703,1,244.703,0.00408658659681328,0.4898958958958959,116,1,13,8.547008547008547,9,1.8027552021535915,8.0,10.0,100,0.684168,1,46,10,10.0,4.568225790029087,9.0,10.0,111,0.030151,2,25,9.00900900900901,9,2.069235675735435,8.0,10.0,100,1.11,0.9009009009009009
973,../../graphs/col/W-500-0.1--.4.col,HEA,2,13,,,0.1,27,49.900000,78,9.777628,,500,12475,0,24.95,0.04008016032064128,0.1,17,1,37,27.77777777777778,32.0,10.207007717051443,25.75,34.25,15,0.004224,9,40,33.333333333333336,35,7.237468644557459,33.0,37.0,15,0.001732,23,38,33.333333333333336,34,3.9218557317872342,32.0,37.0,15,1.0,1.0
974,../../graphs/col/U-1000-0.9-400-0.3.col,TABU,0,328,400,0.000000,0.9,570,890.524000,999,97.678470,350,1000,445262,1,445.262,0.0022458687244813168,0.8914154154154155,333,1,7,2.9940119760479043,3.0,1.2399603112316608,2.0,4.0,329,3.750495,1,7,3.0395136778115504,3,1.2303161429283742,2.0,4.0,331,0.052133,1,7,3.0211480362537766,3,1.2393203950775695,2.0,4.0,329,1.006079027355623,0.9939577039274925
975,../../graphs/col/U-1000-0.9-300-1.1.col,HEA,2,246,300,1.000000,0.9,558,886.378000,999,97.668199,262,1000,443189,1,443.189,0.0022563736915853054,0.8872652652652653,254,1,52,3.9215686274509802,3,4.037438657806124,2.0,4.0,250,2.977315,1,55,4,3.0,4.202695635233372,2.0,4.0,249,0.07987,1,51,4.016064257028113,3,3.998959412516106,2.0,4.0,249,0.996,1.0040160642570282
976,../../graphs/col/G-1000-0.1-5-1.2.col,HEA,2,5,5,1.000000,0.1,32,71.166000,120,17.249651,5,1000,35583,1,35.583,0.028103307759323272,0.07123723723723724,16,5,167,58.8235294117647,49,37.289803053444864,45.5,56.0,8,0.01143,82,196,125,124.5,34.34696909065319,98.75,135.5,5,0.012657,107,450,200,138,141.87846912058222,118.5,312.5,5,0.625,1.6
977,../../graphs/col/U-1000-0.5-150-1.5.col,ILS,1,113,150,1.000000,0.5,198,488.486000,801,135.327417,138,1000,244243,1,244.243,0.004094283152434256,0.488974974974975,129,1,74,7.6923076923076925,6.0,7.825466431199602,4.0,8.0,123,0.636157,1,76,8.130081300813009,6,8.100758262012606,5.0,8.0,124,0.032498,1,68,8.064516129032258,6.0,7.6250996906545865,5.0,8.0,123,1.008130081300813,0.9919354838709677
978,../../graphs/col/W-500-0.5-30-1.4.col,TABU,0,30,30,1.000000,0.5,166,234.884000,277,20.176881,30,500,58721,1,117.442,0.008514841368505305,0.47070941883767536,57,1,21,8.620689655172415,8.0,2.5740103613996705,8.0,9.0,50,0.07683,1,28,10,9.0,4.526565576501389,8.0,10.0,58,0.00828,6,14,8.620689655172415,8.0,1.598547435016043,7.75,9.25,50,1.16,0.8620689655172413
