id,filename,algorithm_sol,algorithm_sol_int,color_sol,time_sol,time,time_ratio,iterations_sol,iterations,iterations_ratio,random_seed,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density
95,../../graphs/col/U-500-0.5-20-0.3.col,TABU,0,20,0.029617,3,0.009872333333333334,0,243178,0.0,3,20,0.000000,0.5,104,231.816000,399,61.272883,20,500,57954,1,115.908,0.008627532180695034,115676.18400000001
96,../../graphs/col/W-500-0.1-5-0.3.col,HEA,2,5,0.011027,3,0.003675666666666667,148,87649,0.0016885532065397208,3,5,0.000000,0.1,17,39.912000,69,8.139549,5,500,9978,1,19.956,0.050110242533573865,19916.088
97,../../graphs/col/G-1000-0.5-40-0.5.col,TABU,0,82,6.679977,7,0.9542824285714285,251702,255451,0.9853239955999389,5,40,0.000000,0.5,434,486.744000,538,15.975433,40,1000,243372,1,243.372,0.004108936114261295,486257.25600000005
98,../../graphs/col/W-1000-0.9-150-0.3.col,ILS,1,154,44.328041,45,0.9850675777777778,369878,373510,0.9902760300929024,3,150,0.000000,0.9,854,893.144000,925,11.316858,150,1000,446572,1,446.572,0.002239280563940417,892250.856
99,../../graphs/col/U-1000-0.9-100-1.5.col,TABU,0,100,1.247357,20,0.06236785,0,1103748,0.0,5,100,1.000000,0.9,564,872.054000,998,98.653226,100,1000,436027,1,436.027,0.00229343595694762,871181.946
100,../../graphs/col/U-500-0.5-70-0.4.col,TABU,0,62,0.251549,15,0.016769933333333334,26116,2358264,0.01107424783654417,4,70,0.000000,0.5,95,244.428000,396,68.129559,70,500,61107,1,122.214,0.008182368632071613,121969.572
101,../../graphs/col/G-1000-0.5-110-0.1.col,TABU,0,90,22.806768,30,0.7602256000000001,1607316,2083697,0.7713770284259179,1,110,0.000000,0.5,453,494.910000,547,15.050578,110,1000,247455,1,247.455,0.004041138792911843,494415.09
102,../../graphs/col/U-500-0.9-150-1.3.col,HEA,2,117,1.074814,32,0.0335879375,25710,3090138,0.008320016775949813,3,150,1.000000,0.9,291,441.204000,499,47.882214,130,500,110301,1,220.602,0.004533050470983944,220160.796
103,../../graphs/col/G-1000-0.1-20-1.3.col,TABU,0,17,1.784807,3,0.5949356666666666,366867,523787,0.7004125722860628,3,20,1.000000,0.1,54,90.434000,131,12.400550,20,1000,45217,1,45.217,0.022115576000176926,90343.56599999999
104,../../graphs/col/G-500-0.9-120-1.3.col,TABU,0,91,3.112467,20,0.15562335,144171,1767834,0.08155234032154603,3,120,1.000000,0.9,394,440.272000,465,13.430637,104,500,110068,1,220.136,0.00454264636406585,219695.728
105,../../graphs/col/U-1000-0.5-200-1.2.col,HEA,2,136,11.949761,60,0.19916268333333334,134731,308870,0.43620617088095315,2,200,1.000000,0.5,203,494.378000,803,137.994671,164,1000,247189,1,247.189,0.004045487461011615,493883.622
